,smoothing,normalization,dimension,wsize,sigma,update_weight,decay_period,thres,f1
76,1.0,0,6,275,1.5,0.001,1400,0.6900000000000001,0.47369795065918285
77,0.0,1,7,301,5.0,0.2,1400,0.09,0.7251380552220887
78,0.0,1,1,175,3.0,0.001,400,0.01,0.47369795065918285
79,1.0,1,8,25,3.0,0.1,1800,0.26,0.49270514926789677
80,0.0,1,7,251,0.5,0.005,600,0.9400000000000001,0.2572689839730508
81,1.0,0,8,101,5.0,0.005,1000,0.28,0.48446238888291815
82,1.0,1,8,125,1.0,0.005,800,0.99,0.46218487394957986
83,1.0,1,1,11,3.0,0.2,200,0.01,0.47369795065918285
84,0.0,1,10,275,0.1,0.1,5000,0.01,0.47369795065918285
85,1.0,1,10,75,0.5,0.3,800,0.27,0.45825745819272656
86,1.0,0,9,51,0.3,0.3,1400,0.3,0.4701708278580815
87,1.0,0,9,51,1.0,0.4,7000,0.42,0.4701708278580815
88,0.0,0,3,301,5.0,0.2,1600,0.09,0.47369795065918285
89,1.0,0,10,151,0.3,0.001,5000,0.01,0.47369795065918285
90,1.0,0,6,201,0.5,0.3,200,0.89,0.49232408216783224
91,1.0,1,6,251,0.5,0.005,1000,0.96,0.45565006075334147
92,1.0,0,6,125,1.0,0.2,2000,0.21,0.4863411068710504
93,0.0,0,10,51,0.1,0.1,1000,0.01,0.47369795065918285
94,0.0,1,10,151,2.0,0.3,1200,0.7000000000000001,0.5887683632770615
95,0.0,1,9,101,0.3,0.3,200,0.01,0.47369795065918285
96,0.0,0,10,225,0.5,0.4,1800,0.05,0.47369795065918285
97,1.0,0,9,101,0.3,0.001,1400,0.9,0.4592999865897814
98,0.0,1,7,51,0.3,0.001,1200,0.96,0.35392774077540656
99,1.0,0,6,225,5.0,0.3,5000,0.28,0.47369795065918285
100,0.0,0,4,201,1.5,0.3,2000,0.38,0.47369795065918285
101,0.0,1,10,11,2.0,0.4,2000,0.42,0.5010363951230532
102,1.0,0,10,125,2.0,0.001,400,0.4,0.47369795065918285
103,1.0,0,7,175,2.0,0.4,400,0.77,0.5131971508663148
104,1.0,1,9,151,0.1,0.001,1800,0.99,0.39038403386755366
105,1.0,1,10,175,5.0,0.1,400,0.65,0.48766100878776936
106,1.0,1,2,75,0.3,0.001,1200,0.99,0.4424778761061947
107,0.0,1,10,225,0.5,0.3,1600,0.05,0.47369795065918285
108,1.0,1,6,51,0.3,0.4,400,0.01,0.47369795065918285
109,1.0,1,10,175,1.5,0.3,2000,0.9400000000000001,0.47369795065918285
110,0.0,1,5,11,2.0,0.1,600,0.25,0.5022372702250435
111,0.0,0,8,251,2.0,0.2,2000,0.11,0.7417496518023887
112,0.0,0,6,275,1.0,0.4,7000,0.07,0.736374549819928
113,1.0,0,10,275,0.5,0.2,400,0.8300000000000001,0.6894339081972964
114,1.0,1,9,101,0.3,0.4,7000,0.01,0.47369795065918285
115,1.0,0,10,225,0.5,0.1,1400,0.85,0.4577729962345347
116,1.0,0,10,51,0.1,0.2,2000,0.01,0.47369795065918285
117,0.0,0,5,101,3.0,0.3,400,0.36,0.47369795065918285
118,0.0,1,3,201,3.0,0.005,1600,0.23,0.47369795065918285
119,1.0,1,7,151,0.5,0.3,200,0.9500000000000001,0.5012765255651983
120,1.0,0,10,75,1.5,0.1,200,0.53,0.47369795065918285
