,smoothing,normalization,wsize,memory,thres,f1
15,0,0,251,1400,0.06,0.6151665485471297
16,0,1,301,400,0.04,0.7085148756609921
17,1,0,125,1600,0.06,0.6923439528973319
18,0,1,151,600,0.09,0.7666776385298792
19,1,1,25,1200,0.39,0.6749352885918586
20,0,0,225,200,0.07,0.4699459344853175
21,1,0,301,1000,0.06,0.4699459344853175
22,0,0,101,1800,0.08,0.6750968728703559
23,1,0,151,600,0.1,0.48155648254815475
24,1,1,175,1400,0.07,0.7240600089972298
25,0,0,175,1600,0.09,0.7503050332084578
26,0,1,175,600,0.07,0.762189433853188
27,1,1,275,2000,0.05,0.901379297387094
28,0,0,175,2000,0.09,0.6968751460255577
29,1,1,125,1000,0.08,0.7800878515026213
30,0,0,101,1400,0.16,0.7085922640613527
31,1,0,25,400,0.6,0.574494184500774
32,1,1,225,400,0.06,0.7281805503670998
33,0,1,175,1800,0.04,0.8013781967608777
34,1,0,175,200,0.09,0.4699459344853175
35,0,1,225,1400,0.04,0.8301903206016235
36,1,1,201,1600,0.06,0.7613621524298302
37,0,1,151,2000,0.05,0.8120482237913478
38,1,0,175,400,0.09,0.4699459344853175
39,1,0,201,1000,0.08,0.524613997421177
40,0,0,151,400,0.1,0.5760924627120332
41,0,0,11,1400,0.9400000000000001,0.6895296995889373
42,0,1,151,1400,0.05,0.7496005346028587
43,0,0,101,1200,0.16,0.8157898528797245
44,0,1,125,2000,0.06,0.780403082929056
45,1,0,11,1200,0.98,0.7097416939236583
46,0,1,11,200,0.31,0.529858534182416
47,1,0,175,1400,0.09,0.5810398921559298
48,0,0,151,1400,0.1,0.6615508158067546
49,1,0,151,1200,0.1,0.6271383709151986
50,1,1,125,1600,0.07,0.7468759304679108
51,0,0,151,600,0.1,0.5625077790403554
52,0,0,175,1800,0.09,0.700744308755264
53,0,1,151,2000,0.05,0.7777608034588979
54,0,1,11,1400,0.25,0.5618447231350456
55,0,0,251,800,0.06,0.5879861341732389
56,1,0,301,1200,0.05,0.6121366455972159
57,0,1,275,800,0.04,0.8852695950353247
58,0,0,25,600,0.62,0.7033669672106154
59,1,1,11,1800,0.28,0.6376010883507206
60,0,0,251,1400,0.06,0.6170130175231562
61,0,0,51,600,0.3,0.6700490215123331
62,0,0,301,800,0.05,0.5650307305005933
63,0,0,301,200,0.05,0.4699459344853175
64,1,1,125,1800,0.06,0.785031545659086
65,0,1,125,600,0.11,0.7632113338845081
66,0,0,301,1200,0.05,0.6877938521116252
67,0,0,75,600,0.2,0.6033552115427667
68,1,1,11,2000,0.3,0.581720893196303
69,1,1,251,1800,0.05,0.7891905115682422
70,1,0,11,1800,0.46,0.6533465318920201
71,1,0,251,800,0.06,0.514671192155868
72,0,1,151,800,0.06,0.778046811945117
73,0,1,251,1800,0.03,0.8363242845426859
74,1,0,151,400,0.1,0.4885685485703206
75,0,1,251,400,0.05,0.7613943883269922
76,1,0,125,1400,0.13,0.5948028221144006
77,1,1,11,800,0.46,0.6064295161748171
78,1,1,301,200,0.05,0.4699459344853175
79,0,0,25,1800,0.24,0.6689198599839872
80,1,1,51,800,0.18,0.6800858011275337
81,1,1,175,800,0.08,0.7222301161722261
82,0,0,251,200,0.06,0.4699459344853175
83,0,0,75,1200,0.21,0.8004807484303235
84,1,0,101,200,0.15,0.4699459344853175
85,0,1,125,1200,0.09,0.7949985890801512
86,0,1,11,400,0.45,0.6021336738328869
87,0,1,11,400,0.48,0.606698592078877
88,0,0,11,1200,0.99,0.7325905292479109
89,0,0,225,800,0.07,0.6721576060621011
90,1,0,11,800,0.97,0.6392203551875604
91,1,1,175,1200,0.06,0.7282101010242326
92,0,0,125,1800,0.13,0.6880496211621012
93,1,1,175,1600,0.06,0.7550046888333399
94,1,1,175,1200,0.07,0.7312958696157155
95,1,1,101,400,0.15,0.6921144617986106
96,0,1,101,1000,0.08,0.701941759075479
97,0,1,101,200,0.12,0.6648374405976967
98,1,0,25,200,0.58,0.5226951855744659
99,1,0,175,600,0.09,0.4699459344853175
