,smoothing,normalization,dimension,wsize,sigma,update_weight,decay_period,thres,f1
76,0.0,1,5,251,5.0,0.001,1000,0.29,0.48138377600575577
77,0.0,1,10,251,0.1,0.001,1600,0.36,0.24880590534085972
78,0.0,1,9,225,2.0,0.005,2000,0.59,0.585001065427255
79,0.0,0,4,251,5.0,0.1,1000,0.07,0.48138377600575577
80,0.0,0,10,11,0.5,0.001,1200,0.86,0.5408338456869677
81,0.0,1,6,75,0.5,0.005,5000,0.99,0.4322656865318981
82,1.0,1,4,25,0.5,0.1,7000,0.39,0.5070789108733251
83,0.0,1,7,11,0.1,0.4,1000,0.99,0.4700404362210513
84,1.0,0,4,201,0.1,0.005,1000,0.01,0.48138377600575577
85,1.0,1,10,51,1.0,0.1,1000,0.22,0.7106843180535521
86,0.0,0,5,201,1.0,0.3,5000,0.7000000000000001,0.5363345672624024
87,0.0,0,2,175,0.5,0.3,1200,0.78,0.48138377600575577
88,0.0,0,5,101,0.1,0.2,1200,0.01,0.48138377600575577
89,1.0,0,3,51,0.5,0.001,2000,0.28,0.6421253880338746
90,0.0,0,7,151,0.5,0.1,5000,0.99,0.3778652384411233
91,0.0,0,10,11,2.0,0.2,7000,0.97,0.5043025218205004
92,1.0,0,6,201,0.5,0.4,1600,0.25,0.7597974465618121
93,1.0,1,7,101,5.0,0.005,600,0.37,0.48138377600575577
94,0.0,1,10,175,0.3,0.4,1400,0.01,0.48138377600575577
95,1.0,1,10,51,3.0,0.1,600,0.19,0.6921762429122
96,1.0,1,10,25,0.1,0.3,800,0.01,0.48138377600575577
97,1.0,1,2,101,1.5,0.005,400,0.17,0.48138377600575577
98,0.0,0,9,151,1.5,0.1,600,0.88,0.571187367409792
99,1.0,0,2,125,0.5,0.4,1000,0.17,0.5761123527260317
100,1.0,1,5,201,0.1,0.001,800,0.03,0.4719169719169719
101,1.0,0,2,125,2.0,0.4,1200,0.11,0.48138377600575577
102,0.0,1,7,11,1.0,0.3,1000,0.85,0.5201622295017512
103,1.0,1,10,251,0.5,0.4,800,0.44,0.6135485845379225
104,0.0,1,10,301,0.1,0.001,1600,0.97,0.31147019024118444
105,0.0,0,1,275,0.1,0.3,800,0.01,0.48138377600575577
106,1.0,1,9,275,0.1,0.001,7000,0.97,0.47220696808835194
107,1.0,0,9,201,1.0,0.2,1200,0.24,0.6749801982155444
108,1.0,1,10,75,0.5,0.005,5000,0.9500000000000001,0.4788214737603181
109,0.0,1,3,125,1.0,0.005,1000,0.6,0.577114393603455
110,0.0,0,3,175,3.0,0.4,1600,0.13,0.48138377600575577
111,0.0,0,1,75,5.0,0.005,1200,0.01,0.48138377600575577
112,0.0,1,6,225,0.5,0.3,1000,0.05,0.48138377600575577
113,0.0,1,6,225,1.0,0.2,7000,0.17,0.558751875546393
114,0.0,0,10,201,0.5,0.005,1200,0.99,0.4784719013315039
115,1.0,0,1,175,2.0,0.1,1600,0.01,0.48138377600575577
116,0.0,0,2,225,0.1,0.1,1600,0.01,0.48138377600575577
117,1.0,1,6,51,1.5,0.2,1400,0.21,0.6466364098501051
118,0.0,1,6,25,3.0,0.001,5000,0.65,0.5085935171828249
119,0.0,0,9,301,5.0,0.1,1400,0.33,0.4984657758883789
120,1.0,1,8,11,0.5,0.3,7000,0.43,0.4868671119639826
