,smoothing,normalization,dimension,wsize,sigma,update_weight,decay_period,thres,f1
77,0.0,1,10,251,0.1,0.001,1600,0.05,0.4624522926409719
78,0.0,1,9,225,2.0,0.005,2000,0.27,0.7514118187467913
79,0.0,0,4,251,5.0,0.1,1000,0.02,0.7453764559572353
80,0.0,0,10,11,0.5,0.001,1200,0.08,0.5521028209869763
81,0.0,1,6,75,0.5,0.005,5000,0.02,0.5506529136671295
82,1.0,1,4,25,0.5,0.1,7000,0.02,0.5851226900394041
83,0.0,1,7,11,0.1,0.4,1000,0.01,0.6623583711454053
84,1.0,0,4,201,0.1,0.005,1000,0.01,0.4699459344853175
85,1.0,1,10,51,1.0,0.1,1000,0.05,0.6022085988094563
86,0.0,0,5,201,1.0,0.3,5000,0.04,0.7119373776908025
87,0.0,0,2,175,0.5,0.3,1200,0.03,0.7512770797079467
88,0.0,0,5,101,0.1,0.2,1200,0.01,0.4699459344853175
89,1.0,0,3,51,0.5,0.001,2000,0.16,0.5932025655358201
90,0.0,0,7,151,0.5,0.1,5000,0.12,0.6350290485482005
91,0.0,0,10,11,2.0,0.2,7000,0.03,0.6046864635994951
92,1.0,0,6,201,0.5,0.4,1600,0.1,0.8300908263830551
93,1.0,1,7,101,5.0,0.005,600,0.05,0.6499118441807631
94,0.0,1,10,175,0.3,0.4,1400,0.01,0.4699459344853175
95,1.0,1,10,51,3.0,0.1,600,0.09,0.5893655374218946
96,1.0,1,10,25,0.1,0.3,800,0.01,0.4699459344853175
97,1.0,1,2,101,1.5,0.005,400,0.03,0.6246723666829487
98,0.0,0,9,151,1.5,0.1,600,0.2,0.6699882973296003
99,1.0,0,2,125,0.5,0.4,1000,0.09,0.6568928213905125
100,1.0,1,5,201,0.1,0.001,800,0.01,0.4699459344853175
101,1.0,0,2,125,2.0,0.4,1200,0.02,0.6389671882778949
102,0.0,1,7,11,1.0,0.3,1000,0.04,0.6026556380012045
103,1.0,1,10,251,0.5,0.4,800,0.06,0.8065681954820245
104,0.0,1,10,301,0.1,0.001,1600,0.01,0.5579545172184699
105,0.0,0,1,275,0.1,0.3,800,0.01,0.4699459344853175
106,1.0,1,9,275,0.1,0.001,7000,0.93,0.4699459344853175
107,1.0,0,9,201,1.0,0.2,1200,0.1,0.7841735868880403
