,smoothing,normalization,dimension,wsize,sigma,update_weight,decay_period,thres,F1,FPR,RFPR,Prec,Rec,tot_pred,tot_labels,tot_correctly_pred
61,0.0,1,1,175,2.0,0.3,600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1134,0.0
62,1.0,1,10,125,0.3,0.4,1200,0.0,0.11440425413423087,0.9999999999887209,0.9999998999231057,0.11339999999886599,0.9999999999118165,10000.0,1134,1134.0
63,0.0,0,2,275,1.0,0.005,200,0.4,0.9713501037686165,0.0,2513227.513005888,0.9999999996491227,0.2513227513005888,285.0,1134,285.0
64,0.0,0,4,51,0.3,0.3,800,0.0,0.11440425413423087,0.9999999999887209,0.9999998999231057,0.11339999999886599,0.9999999999118165,10000.0,1134,1134.0
65,0.0,1,5,275,0.5,0.1,600,0.0,0.11440425413423087,0.9999999999887209,0.9999998999231057,0.11339999999886599,0.9999999999118165,10000.0,1134,1134.0
66,0.0,1,1,175,1.0,0.005,600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1134,0.0
67,0.0,1,10,101,0.5,0.001,1000,0.03,0.2746559872657252,0.046131288066251615,3.0011663982506698,0.27738515896159277,0.1384479717690963,566.0,1134,157.0
68,0.0,1,4,125,0.5,0.1,800,0.01,0.06084126823060169,0.4333408526908037,0.502636664674041,0.06040596722767411,0.21781305112717697,4089.0,1134,247.0
69,1.0,0,8,151,0.5,0.4,400,0.45,0.9394474151273801,0.0,1331569.6647855758,0.9999999993377484,0.13315696647855757,151.0,1134,151.0
70,0.0,1,9,251,1.5,0.005,2000,0.4,0.5018253620276619,0.02887435145467094,8.062637420114287,0.5076923075946745,0.23280423278370332,520.0,1134,264.0
71,1.0,0,10,301,1.5,0.3,1600,0.25,0.49650012620057143,0.033949921046312316,7.844293604231576,0.5008291873132954,0.26631393295711514,603.0,1134,302.0
72,1.0,0,8,11,5.0,0.2,1200,0.49,0.4973117079061469,0.0,97001.76365987638,0.9999999909090911,0.009700176365987637,11.0,1134,11.0
73,0.0,1,8,275,0.5,0.4,600,0.0,0.11440425413423087,0.9999999999887209,0.9999998999231057,0.11339999999886599,0.9999999999118165,10000.0,1134,1134.0
74,1.0,0,4,275,0.3,0.3,1200,0.0,0.11440425413423087,0.9999999999887209,0.9999998999231057,0.11339999999886599,0.9999999999118165,10000.0,1134,1134.0
75,1.0,1,4,301,0.5,0.2,2000,0.34,0.9734470208488849,0.0,2663139.3295711516,0.9999999996688741,0.26631393295711514,302.0,1134,302.0
76,0.0,1,7,151,1.0,0.2,7000,0.29,0.9423638422154333,0.0,1393298.0598418608,0.9999999993670886,0.13932980598418607,158.0,1134,158.0
77,1.0,0,5,75,1.5,0.001,1800,0.89,0.8773442253944049,0.0,661375.661317339,0.9999999986666668,0.0661375661317339,75.0,1134,75.0
78,1.0,1,2,225,3.0,0.1,1000,0.02,0.46948824195906647,0.02819760884245209,7.099029497177183,0.4758909852251801,0.20017636682538126,477.0,1134,227.0
79,1.0,1,4,275,1.5,0.4,1000,0.16,0.4922129598998503,0.03146853146817653,7.734249378175576,0.4972972972076942,0.24338624336478074,555.0,1134,276.0
80,0.0,0,1,201,5.0,0.1,800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1134,0.0
81,1.0,1,6,301,1.0,0.3,1800,0.23,0.4619752702632892,0.03631852018907829,6.822820171861775,0.4660033166723046,0.24779541444022968,603.0,1134,281.0
82,0.0,0,10,251,0.1,0.2,7000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1134,0.0
83,1.0,0,7,125,1.5,0.2,7000,0.38,0.925993068056775,0.0,1102292.7688622316,0.9999999992,0.11022927688622317,125.0,1134,125.0
84,0.0,1,6,151,0.1,0.2,1600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1134,0.0
85,0.0,1,7,201,0.1,0.001,1800,0.0,0.11440425413423087,0.9999999999887209,0.9999998999231057,0.11339999999886599,0.9999999999118165,10000.0,1134,1134.0
86,1.0,0,3,251,5.0,0.4,600,0.01,0.6637963350877067,0.028310399277821897,15.667777732823088,0.6671087532271739,0.443562610190162,754.0,1134,503.0
87,1.0,1,10,175,0.5,0.1,5000,0.58,0.9485343583793159,0.0,1543209.8764071243,0.9999999994285714,0.15432098764071242,175.0,1134,175.0
88,1.0,1,10,301,5.0,0.001,1400,0.2,0.1952168227437305,0.132415971124155,1.891318138042945,0.19478737995920525,0.25044091708549904,1458.0,1134,284.0
89,0.0,0,10,11,0.3,0.1,400,2.66,0.4973117079061469,0.0,97001.76365987638,0.9999999909090911,0.009700176365987637,11.0,1134,11.0
90,1.0,0,2,25,0.5,0.001,200,1.21,0.6948244671636716,0.0,220458.55377244632,0.999999996,0.02204585537724463,25.0,1134,25.0
91,0.0,0,2,251,5.0,0.001,600,0.01,0.7548806282474272,0.028987141890040747,24.154639114591017,0.7554709799471483,0.7001763667812895,1051.0,1134,794.0
92,1.0,0,4,101,5.0,0.005,400,0.08,0.9501405464518542,0.0,1587301.5871616136,0.9999999994444445,0.15873015871616136,180.0,1134,180.0
93,0.0,0,10,301,2.0,0.001,600,1.02,0.977493015421369,0.0,3007054.673456168,0.9999999997067448,0.30070546734561676,341.0,1134,341.0
94,1.0,1,3,301,0.1,0.4,1200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1134,0.0
95,1.0,1,10,225,0.1,0.3,1400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1134,0.0
96,0.0,1,4,125,2.0,0.3,400,0.1,0.4916344202046226,0.014775547033444894,8.057015626297446,0.5075187968016847,0.11904761903712101,266.0,1134,135.0
97,0.0,1,5,11,1.5,0.1,2000,1.27,0.4973117079061469,0.0,97001.76365987638,0.9999999909090911,0.009700176365987637,11.0,1134,11.0
98,0.0,0,10,275,0.3,0.001,800,0.0,0.11440425413423087,0.9999999999887209,0.9999998999231057,0.11339999999886599,0.9999999999118165,10000.0,1134,1134.0
99,0.0,0,4,201,0.3,0.1,800,0.0,0.11440425413423087,0.9999999999887209,0.9999998999231057,0.11339999999886599,0.9999999999118165,10000.0,1134,1134.0
