,smoothing,normalization,wsize,memory,thres,F1,FPR,RFPR,Prec,Rec,tot_pred,tot_labels,tot_correctly_pred
0,1,1,225,200,0.05,0.4210525848355887,0.08705940963897049,6.510807372127374,0.3349191246113302,0.5668276971712033,1051.0,621,352.0
1,1,1,201,1800,0.04,0.22829263512329376,0.035745422841751834,5.27075230946256,0.2896039603243554,0.1884057970711102,404.0,621,117.0
2,1,0,11,1800,1.45,0.03353657525422298,0.0029891642794496304,5.925660590926878,0.3142857133877551,0.017713365536600103,35.0,621,11.0
3,1,0,275,1600,0.06,0.3805146568141486,0.032382613027371,10.293557954761587,0.44325481789223664,0.3333333332796565,467.0,621,207.0
4,1,0,101,800,0.15,0.6206896053171729,0.03724000498147665,17.90184713203454,0.5806451612088857,0.666666666559313,713.0,621,414.0
5,1,1,225,2000,0.04,0.28245720366672145,0.09154315605814493,3.922716364573423,0.2327766179297728,0.3590982286056203,958.0,621,223.0
6,0,1,225,1400,0.01,0.1577944207302104,0.8256320836863167,1.211193094937419,0.08565517241261165,0.9999999998389695,7250.0,621,621.0
7,0,0,301,1000,0.02,0.6357085167532623,0.028770706189702695,22.22014430392583,0.6321656049948782,0.6392914652754764,628.0,621,397.0
8,1,0,275,1800,0.06,0.6658306733687006,0.05517499065817443,15.497436495897091,0.5451745379317069,0.8550724636304231,974.0,621,531.0
9,1,0,25,1000,0.63,0.0707482730914068,0.010960269024648646,3.819940260271785,0.22807017523853496,0.041867954904691154,114.0,621,26.0
10,0,1,225,2000,0.01,0.1708155530702096,0.750902976700076,1.3317297942546416,0.09338345864521228,0.9999999998389695,6650.0,621,621.0
11,0,0,101,1800,0.1,0.3505975805548084,0.0,2125603.8643920124,0.9999999992424243,0.21256038643920125,132.0,621,132.0
12,1,1,275,400,0.03,0.2892056693560156,0.236517623611452,2.9003760376990653,0.18322580644373224,0.6859903380537858,2325.0,621,426.0
13,0,0,275,1600,0.02,0.5822784317319203,0.048200274006125296,13.831151319999986,0.5168539325197437,0.666666666559313,801.0,621,414.0
14,1,1,151,1600,0.05,0.26909915605412876,0.11172001494442994,3.4016453191709966,0.2082965577927364,0.38003220605796584,1133.0,621,236.0
15,1,0,201,1800,0.08,0.6706180702569151,0.020425955909572475,31.219005868810953,0.7071428570165816,0.6376811593176037,560.0,621,396.0
16,0,1,51,1000,0.08,0.15178570021391496,0.0,821256.0385150957,0.9999999980392157,0.08212560385150956,51.0,621,51.0
17,1,1,301,400,0.03,0.2292190959216419,0.09777058164033167,2.9975825003549996,0.18821096171786858,0.2930756843328381,967.0,621,182.0
18,1,0,225,600,0.06,0.29141504226586074,0.32793623115795323,2.725284519295611,0.17409033876492816,0.8937198066193689,3188.0,621,555.0
19,0,1,251,800,0.01,0.15998967998240016,0.8121808444287933,1.2312527235445905,0.0869504340508688,0.9999999998389695,7142.0,621,621.0
20,1,0,301,1400,0.05,0.3852398170419008,0.19516751774573213,4.3069630080984584,0.24988032550263858,0.8405797100095685,2089.0,621,522.0
21,0,1,225,1400,0.01,0.1577944207302104,0.8256320836863167,1.211193094937419,0.08565517241261165,0.9999999998389695,7250.0,621,621.0
22,0,0,225,1200,0.03,0.4496643870058446,0.008967492838348893,36.09346492051643,0.7362637359940425,0.3236714975324201,273.0,621,201.0
23,1,1,75,1200,0.15,0.21551722208804175,0.0,1207729.4684045527,0.9999999986666668,0.12077294684045525,75.0,621,75.0
24,1,1,275,600,0.03,0.2097003934609724,0.2352721384950147,2.0122644075774216,0.13467704992511786,0.47342995161458457,2183.0,621,294.0
25,1,0,151,1000,0.1,0.4016359538915982,0.16602316602109823,4.762345930569976,0.2691885964764699,0.7906602253155137,1824.0,621,491.0
26,0,1,75,400,0.04,0.42312418397890594,0.08232656619650858,6.728624819885077,0.3422885571798718,0.5539452495082214,1005.0,621,344.0
27,0,0,301,200,0.03,0.3244513606429603,0.05579773321639311,5.973947626011486,0.3160305343028961,0.3333333332796565,655.0,621,207.0
28,0,0,301,600,0.03,0.41214746135652947,0.013824884792454542,22.130811468436992,0.6312292356706879,0.30595813199581995,301.0,621,190.0
29,1,0,225,800,0.07,0.60193067545575,0.07597459210267811,11.233505974846404,0.46491228066097257,0.8534621576725504,1140.0,621,530.0
30,1,0,301,1200,0.05,0.18777163086409263,0.3121185701791989,1.6716050021974556,0.11448763250478843,0.5217391303507667,2830.0,621,324.0
31,1,1,25,1000,0.39,0.07183906120979175,0.00622742558218673,6.464469461510002,0.3333333328888889,0.040257648946818415,75.0,621,25.0
32,1,1,275,1000,0.04,0.18230201402510088,0.09278864117458228,2.3775720355283507,0.15532879816833006,0.2206119162285649,882.0,621,137.0
33,1,1,151,600,0.05,0.06922253293692103,0.14846182587933165,0.7050284888989147,0.05171042163470879,0.10466988726172788,1257.0,621,65.0
34,1,0,201,2000,0.08,0.6781228860815466,0.04720388591297542,17.500364437691253,0.575112107558844,0.8260869563887139,892.0,621,513.0
35,0,0,201,1800,0.04,0.47640962538531867,0.005106488977393119,65.27514447615108,0.8346774190182753,0.3333333332796565,248.0,621,207.0
36,1,1,25,400,0.4,0.07739937334058672,0.0,402576.4894681842,0.999999996,0.040257648946818415,25.0,621,25.0
37,0,1,25,600,0.19,0.07739937334058672,0.0,402576.4894681842,0.999999996,0.040257648946818415,25.0,621,25.0
38,0,0,101,1800,0.1,0.3147896613142525,0.0,1867954.9111323745,0.9999999991379311,0.18679549111323746,116.0,621,116.0
39,1,1,125,800,0.07,0.2261798258550978,0.04670569186640048,4.37866158515896,0.2529880477583689,0.20450885664983756,502.0,621,127.0
40,0,1,25,800,0.19,0.08923076067834398,0.0,466988.72778309364,0.9999999965517241,0.046698872778309364,29.0,621,29.0
41,0,1,11,1800,0.74,0.03726707384601414,0.0013700336280810807,14.10349406687894,0.5217391281663516,0.01932367149447284,23.0,621,12.0
42,1,0,101,200,0.14,0.3453292133458466,0.1918047079313513,3.786390940004669,0.2265193370051974,0.7262479870006042,1991.0,621,451.0
43,1,1,201,600,0.04,0.20007434155554413,0.22406277244707856,1.9332622934666572,0.13007736943278156,0.4331723026677662,2068.0,621,269.0
44,0,0,125,600,0.09,0.34620503120030166,0.0,2093397.7452345577,0.9999999992307693,0.20933977452345576,130.0,621,130.0
45,0,1,301,1600,0.01,0.3194684858505561,0.2849669946408648,3.1249193729749463,0.19464977120046992,0.8904991947036234,2841.0,621,553.0
46,0,1,225,1200,0.01,0.15388426283303766,0.8505417860150636,1.175721050640014,0.0833557046968677,0.9999999998389695,7450.0,621,621.0
